matricula;nome;dia_curso
90001;Aprendiz Fictício 01;segunda-feira
90002;Aprendiz Fictício 02;terça-feira
90003;Aprendiz Fictício 03;quarta-feira
90004;Aprendiz Fictício 04;quinta-feira
90005;Aprendiz Fictício 05;sexta-feira
90006;Aprendiz Fictício 06;segunda-feira
90007;Aprendiz Fictício 07;terça-feira
90008;Aprendiz Fictício 08;quarta-feira
90009;Aprendiz Fictício 09;quinta-feira
90010;Aprendiz Fictício 10;sexta-feira
90011;Aprendiz Fictício 11;segunda-feira
90012;Aprendiz Fictício 12;terça-feira
90013;Aprendiz Fictício 13;quarta-feira
90014;Aprendiz Fictício 14;quinta-feira
90015;Aprendiz Fictício 15;sexta-feira
90016;Aprendiz Fictício 16;segunda-feira
90017;Aprendiz Fictício 17;terça-feira
90018;Aprendiz Fictício 18;quarta-feira
90019;Aprendiz Fictício 19;quinta-feira
90020;Aprendiz Fictício 20;sexta-feira
90021;Aprendiz Fictício 21;segunda-feira
90022;Aprendiz Fictício 22;terça-feira
90023;Aprendiz Fictício 23;quarta-feira
90024;Aprendiz Fictício 24;quinta-feira
90025;Aprendiz Fictício 25;sexta-feira
