id_atestado;matricula;nome;dia_curso;data_atestado;dia_semana;tipo_ausencia
F001A;90001;Aprendiz Fictício 01;segunda-feira;2026-08-17;segunda-feira;CURSO
F001B;90001;Aprendiz Fictício 01;segunda-feira;2026-08-18;terça-feira;TRABALHO
F002A;90002;Aprendiz Fictício 02;terça-feira;2026-08-18;terça-feira;CURSO
F002B;90002;Aprendiz Fictício 02;terça-feira;2026-08-19;quarta-feira;TRABALHO
F003A;90003;Aprendiz Fictício 03;quarta-feira;2026-08-19;quarta-feira;CURSO
F003B;90003;Aprendiz Fictício 03;quarta-feira;2026-08-20;quinta-feira;TRABALHO
F004A;90004;Aprendiz Fictício 04;quinta-feira;2026-08-20;quinta-feira;CURSO
F004B;90004;Aprendiz Fictício 04;quinta-feira;2026-08-21;sexta-feira;TRABALHO
F005A;90005;Aprendiz Fictício 05;sexta-feira;2026-08-21;sexta-feira;CURSO
F005B;90005;Aprendiz Fictício 05;sexta-feira;2026-08-17;segunda-feira;TRABALHO
F006A;90006;Aprendiz Fictício 06;segunda-feira;2026-08-17;segunda-feira;CURSO
F006B;90006;Aprendiz Fictício 06;segunda-feira;2026-08-18;terça-feira;TRABALHO
F007A;90007;Aprendiz Fictício 07;terça-feira;2026-08-18;terça-feira;CURSO
F007B;90007;Aprendiz Fictício 07;terça-feira;2026-08-19;quarta-feira;TRABALHO
F008A;90008;Aprendiz Fictício 08;quarta-feira;2026-08-19;quarta-feira;CURSO
F008B;90008;Aprendiz Fictício 08;quarta-feira;2026-08-20;quinta-feira;TRABALHO
F009A;90009;Aprendiz Fictício 09;quinta-feira;2026-08-20;quinta-feira;CURSO
F009B;90009;Aprendiz Fictício 09;quinta-feira;2026-08-21;sexta-feira;TRABALHO
F010A;90010;Aprendiz Fictício 10;sexta-feira;2026-08-21;sexta-feira;CURSO
F010B;90010;Aprendiz Fictício 10;sexta-feira;2026-08-17;segunda-feira;TRABALHO
F011A;90011;Aprendiz Fictício 11;segunda-feira;2026-08-17;segunda-feira;CURSO
F011B;90011;Aprendiz Fictício 11;segunda-feira;2026-08-18;terça-feira;TRABALHO
F012A;90012;Aprendiz Fictício 12;terça-feira;2026-08-18;terça-feira;CURSO
F012B;90012;Aprendiz Fictício 12;terça-feira;2026-08-19;quarta-feira;TRABALHO
F013A;90013;Aprendiz Fictício 13;quarta-feira;2026-08-19;quarta-feira;CURSO
F013B;90013;Aprendiz Fictício 13;quarta-feira;2026-08-20;quinta-feira;TRABALHO
F014A;90014;Aprendiz Fictício 14;quinta-feira;2026-08-20;quinta-feira;CURSO
F014B;90014;Aprendiz Fictício 14;quinta-feira;2026-08-21;sexta-feira;TRABALHO
F015A;90015;Aprendiz Fictício 15;sexta-feira;2026-08-21;sexta-feira;CURSO
F015B;90015;Aprendiz Fictício 15;sexta-feira;2026-08-17;segunda-feira;TRABALHO
F016A;90016;Aprendiz Fictício 16;segunda-feira;2026-08-17;segunda-feira;CURSO
F016B;90016;Aprendiz Fictício 16;segunda-feira;2026-08-18;terça-feira;TRABALHO
F017A;90017;Aprendiz Fictício 17;terça-feira;2026-08-18;terça-feira;CURSO
F017B;90017;Aprendiz Fictício 17;terça-feira;2026-08-19;quarta-feira;TRABALHO
F018A;90018;Aprendiz Fictício 18;quarta-feira;2026-08-19;quarta-feira;CURSO
F018B;90018;Aprendiz Fictício 18;quarta-feira;2026-08-20;quinta-feira;TRABALHO
F019A;90019;Aprendiz Fictício 19;quinta-feira;2026-08-20;quinta-feira;CURSO
F019B;90019;Aprendiz Fictício 19;quinta-feira;2026-08-21;sexta-feira;TRABALHO
F020A;90020;Aprendiz Fictício 20;sexta-feira;2026-08-21;sexta-feira;CURSO
F020B;90020;Aprendiz Fictício 20;sexta-feira;2026-08-17;segunda-feira;TRABALHO
F021A;90021;Aprendiz Fictício 21;segunda-feira;2026-08-17;segunda-feira;CURSO
F021B;90021;Aprendiz Fictício 21;segunda-feira;2026-08-18;terça-feira;TRABALHO
F022A;90022;Aprendiz Fictício 22;terça-feira;2026-08-18;terça-feira;CURSO
F022B;90022;Aprendiz Fictício 22;terça-feira;2026-08-19;quarta-feira;TRABALHO
F023A;90023;Aprendiz Fictício 23;quarta-feira;2026-08-19;quarta-feira;CURSO
F023B;90023;Aprendiz Fictício 23;quarta-feira;2026-08-20;quinta-feira;TRABALHO
F024A;90024;Aprendiz Fictício 24;quinta-feira;2026-08-20;quinta-feira;CURSO
F024B;90024;Aprendiz Fictício 24;quinta-feira;2026-08-21;sexta-feira;TRABALHO
F025A;90025;Aprendiz Fictício 25;sexta-feira;2026-08-21;sexta-feira;CURSO
F025B;90025;Aprendiz Fictício 25;sexta-feira;2026-08-17;segunda-feira;TRABALHO
